drink_name,ingredient,measurement,unit
Spanish chocolate,Milk,2.0,cups
Spanish chocolate,Chocolate,2.0,oz
Spanish chocolate,Cinnamon,0.5,
Spanish chocolate,Egg yolk,2.0,
Martini,Gin,4.0,oz
Martini,Dry Vermouth,0.3333333333333333,oz
Martini,Olive,1.0,
Coke and Drops,Coca-Cola,1.0,
Coke and Drops,Lemon juice,7.0,
Pink Lady,Gin,5.5,oz
Pink Lady,Grenadine,1.0,
Pink Lady,Light cream,1.0,
Pink Lady,Egg white,1.0,
Mojito,Light rum,2.0,-3 oz
Mojito,Lime,1.0,
Mojito,Sugar,2.0,
Mojito,Mint,2.0,
Mojito,Soda water,nan,N/A
Irish Spring,Irish whiskey,1.0,oz
Irish Spring,Peach brandy,0.5,oz
Irish Spring,Orange juice,1.0,oz
Irish Spring,Sweet and sour,1.0,oz
Irish Spring,Orange,1.0,
Irish Spring,Cherry,1.0,
Chocolate Milk,Chocolate liqueur,0.5,shot
Chocolate Milk,Milk,0.5,shot
Chocolate Milk,Amaretto,1.0,dash
Chocolate Beverage,Milk,6.0,cups
Chocolate Beverage,Chocolate,3.0,oz Mexican
Chocolate Beverage,Cinnamon,1.0,
Chocolate Beverage,Egg,3.0,
Sazerac,Ricard,1.0,
Sazerac,Sugar,0.5,
Sazerac,Peychaud bitters,2.0,dashes
Sazerac,Water,1.0,
Sazerac,Bourbon,2.0,oz
Sazerac,Lemon peel,1.0,
Amaretto Mist,Amaretto,5.5,oz
Amaretto Mist,Lime,1.0,
Lone Tree Cocktail,Sweet Vermouth,0.75,oz
Lone Tree Cocktail,Gin,5.5,oz
Afternoon,Kahlua,1.0,
Afternoon,Bailey's irish cream,1.0,
Afternoon,Frangelico,5.5,
Afternoon,Coffee,4.0,
Afternoon,Cream,nan,N/A
Vodka And Tonic,Vodka,2.0,oz
Vodka And Tonic,Tonic water,nan,N/A
Tom Collins,Gin,2.0,oz
Tom Collins,Lemon juice,1.0,oz
Tom Collins,Sugar,1.0,
Tom Collins,Club soda,3.0,oz
Tom Collins,Maraschino cherry,1.0,
Tom Collins,Orange,1.0,
Flying Dutchman,Gin,2.0,oz
Flying Dutchman,Triple sec,0.5,oz
Allegheny,Dry Vermouth,1.0,oz
Allegheny,Bourbon,1.0,oz
Allegheny,Blackberry brandy,5.5,
Allegheny,Lemon juice,5.5,
Allegheny,Lemon peel,1.0,
Bobby Burns Cocktail,Sweet Vermouth,5.5,oz
Bobby Burns Cocktail,Scotch,5.5,oz
Bobby Burns Cocktail,Benedictine,2.75,
Bobby Burns Cocktail,Lemon peel,1.0,
Irish Russian,Vodka,1.0,shot
Irish Russian,Kahlua,1.0,shot
Irish Russian,Coca-Cola,1.0,dash
Irish Russian,Guinness stout,N/A,N/A
Bijou,Orange Bitters,1.0,dash
Bijou,Green Chartreuse,1.0,oz
Bijou,Gin,1.0,oz
